GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SonarCodeProject,com.sonar.dev,Calculate,0,19,0,0,0,5,0,5,0,5
SonarCodeProject,com.sonar.dev,Hello,0,11,0,0,0,5,0,5,0,5
